YearStart,YearEnd,LocationAbbr,Question,DataValueType,DataValue,DataValueAlt,StratificationCategory1,Stratification1,LocationID,StratificationCategoryID1,StratificationID1
2015,2019,DE,"Cancer of the lung and bronchus, incidence",Average Annual Number,685,685,Race/Ethnicity,"White, non-Hispanic",10,RACE,WHT
2015,2019,DE,"Cancer of the lung and bronchus, incidence",Average Annual Number,117,117,Race/Ethnicity,"Black, non-Hispanic",10,RACE,BLK
2015,2019,CT,"Cancer of the lung and bronchus, incidence",Average Annual Number,141,141,Race/Ethnicity,Hispanic,9,RACE,HIS
2015,2019,AR,"Cancer of the lung and bronchus, incidence",Average Annual Number,25,25,Race/Ethnicity,American Indian or Alaska Native,5,RACE,AIAO
2015,2019,DE,"Cancer of the lung and bronchus, incidence",Average Annual Number,9,9,Race/Ethnicity,Asian or Pacific Islander,10,RACE,APIO
2015,2019,CA,"Cancer of the lung and bronchus, incidence",Average Annual Number,113,113,Race/Ethnicity,American Indian or Alaska Native,6,RACE,AIAO
2015,2019,VT,"Cancer of the lung and bronchus, incidence",Average Annual Number,269,269,Gender,Male,50,GENDER,GENM
2015,2019,KS,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,American Indian or Alaska Native,20,RACE,AIAO
2015,2019,PA,"Cancer of the lung and bronchus, incidence",Average Annual Number,10,10,Race/Ethnicity,American Indian or Alaska Native,42,RACE,AIAO
2015,2019,ME,"Cancer of the lung and bronchus, incidence",Average Annual Number,715,715,Gender,Female,23,GENDER,GENF
2015,2019,TX,"Cancer of the lung and bronchus, incidence",Average Annual Number,6270,6270,Gender,Female,48,GENDER,GENF
2015,2019,WI,"Cancer of the lung and bronchus, incidence",Average Annual Number,4416,4416,Overall,Overall,55,OVERALL,OVR
2015,2019,MO,"Cancer of the lung and bronchus, incidence",Average Annual Number,38,38,Race/Ethnicity,Asian or Pacific Islander,29,RACE,APIO
2015,2019,WI,"Cancer of the lung and bronchus, incidence",Average Annual Number,44,44,Race/Ethnicity,American Indian or Alaska Native,55,RACE,AIAO
2015,2019,VA,"Cancer of the lung and bronchus, incidence",Average Annual Number,140,140,Race/Ethnicity,Asian or Pacific Islander,51,RACE,APIO
2015,2019,OR,"Cancer of the lung and bronchus, incidence",Average Annual Number,2534,2534,Race/Ethnicity,"White, non-Hispanic",41,RACE,WHT
2015,2019,IL,"Cancer of the lung and bronchus, incidence",Average Annual Number,4713,4713,Gender,Female,17,GENDER,GENF
2015,2019,NC,"Cancer of the lung and bronchus, incidence",Average Annual Number,94,94,Race/Ethnicity,American Indian or Alaska Native,37,RACE,AIAO
2015,2019,TX,"Cancer of the lung and bronchus, incidence",Average Annual Number,1678,1678,Race/Ethnicity,"Black, non-Hispanic",48,RACE,BLK
2015,2019,PA,"Cancer of the lung and bronchus, incidence",Average Annual Number,9550,9550,Race/Ethnicity,"White, non-Hispanic",42,RACE,WHT
2015,2019,NH,"Cancer of the lung and bronchus, incidence",Average Annual Number,1168,1168,Overall,Overall,33,OVERALL,OVR
2015,2019,NH,"Cancer of the lung and bronchus, incidence",Average Annual Number,9,9,Race/Ethnicity,Hispanic,33,RACE,HIS
2015,2019,WV,"Cancer of the lung and bronchus, incidence",Average Annual Number,2025,2025,Race/Ethnicity,"White, non-Hispanic",54,RACE,WHT
2015,2019,ME,"Cancer of the lung and bronchus, incidence",Average Annual Number,4,4,Race/Ethnicity,Hispanic,23,RACE,HIS
2015,2019,MD,"Cancer of the lung and bronchus, incidence",Average Annual Number,53,53,Race/Ethnicity,Hispanic,24,RACE,HIS
2015,2019,NJ,"Cancer of the lung and bronchus, incidence",Average Annual Number,3119,3119,Gender,Female,34,GENDER,GENF
2015,2019,MI,"Cancer of the lung and bronchus, incidence",Average Annual Number,957,957,Race/Ethnicity,"Black, non-Hispanic",26,RACE,BLK
2015,2019,OH,"Cancer of the lung and bronchus, incidence",Average Annual Number,5290,5290,Gender,Male,39,GENDER,GENM
2015,2019,KY,"Cancer of the lung and bronchus, incidence",Average Annual Number,2573,2573,Gender,Male,21,GENDER,GENM
2015,2019,FL,"Cancer of the lung and bronchus, incidence",Average Annual Number,1945,1945,Race/Ethnicity,Hispanic,12,RACE,HIS
2015,2019,TN,"Cancer of the lung and bronchus, incidence",Average Annual Number,2871,2871,Gender,Female,47,GENDER,GENF
2015,2019,MD,"Cancer of the lung and bronchus, incidence",Average Annual Number,2027,2027,Gender,Female,24,GENDER,GENF
2015,2019,NE,"Cancer of the lung and bronchus, incidence",Average Annual Number,650,650,Gender,Male,31,GENDER,GENM
2015,2019,NM,"Cancer of the lung and bronchus, incidence",Average Annual Number,468,468,Gender,Female,35,GENDER,GENF
2015,2019,VA,"Cancer of the lung and bronchus, incidence",Average Annual Number,5465,5465,Overall,Overall,51,OVERALL,OVR
2015,2019,NJ,"Cancer of the lung and bronchus, incidence",Average Annual Number,215,215,Race/Ethnicity,Asian or Pacific Islander,34,RACE,APIO
2015,2019,WY,"Cancer of the lung and bronchus, incidence",Average Annual Number,5,5,Race/Ethnicity,American Indian or Alaska Native,56,RACE,AIAO
2015,2019,WA,"Cancer of the lung and bronchus, incidence",Average Annual Number,247,247,Race/Ethnicity,Asian or Pacific Islander,53,RACE,APIO
2015,2019,MA,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,"Black, non-Hispanic",25,RACE,BLK
2015,2019,WV,"Cancer of the lung and bronchus, incidence",Average Annual Number,48,48,Race/Ethnicity,"Black, non-Hispanic",54,RACE,BLK
2015,2019,OK,"Cancer of the lung and bronchus, incidence",Average Annual Number,1664,1664,Gender,Male,40,GENDER,GENM
2015,2019,GA,"Cancer of the lung and bronchus, incidence",Average Annual Number,9,9,Race/Ethnicity,American Indian or Alaska Native,13,RACE,AIAO
2015,2019,NE,"Cancer of the lung and bronchus, incidence",Average Annual Number,11,11,Race/Ethnicity,Asian or Pacific Islander,31,RACE,APIO
2015,2019,UT,"Cancer of the lung and bronchus, incidence",Average Annual Number,328,328,Gender,Female,49,GENDER,GENF
2015,2019,ID,"Cancer of the lung and bronchus, incidence",Average Annual Number,921,921,Race/Ethnicity,"White, non-Hispanic",16,RACE,WHT
2015,2019,WA,"Cancer of the lung and bronchus, incidence",Average Annual Number,4497,4497,Overall,Overall,53,OVERALL,OVR
2015,2019,OK,"Cancer of the lung and bronchus, incidence",Average Annual Number,3134,3134,Overall,Overall,40,OVERALL,OVR
2015,2019,LA,"Cancer of the lung and bronchus, incidence",Average Annual Number,34,34,Race/Ethnicity,Asian or Pacific Islander,22,RACE,APIO
2015,2019,NV,"Cancer of the lung and bronchus, incidence",Average Annual Number,74,74,Race/Ethnicity,"Black, non-Hispanic",32,RACE,BLK
2015,2019,KY,"Cancer of the lung and bronchus, incidence",Average Annual Number,3,3,Race/Ethnicity,American Indian or Alaska Native,21,RACE,AIAO
2015,2019,NV,"Cancer of the lung and bronchus, incidence",Average Annual Number,539,539,Gender,Female,32,GENDER,GENF
2015,2019,WA,"Cancer of the lung and bronchus, incidence",Average Annual Number,2208,2208,Gender,Male,53,GENDER,GENM
2015,2019,HI,"Cancer of the lung and bronchus, incidence",Average Annual Number,50,50,Race/Ethnicity,Hispanic,15,RACE,HIS
2015,2019,NJ,"Cancer of the lung and bronchus, incidence",Average Annual Number,4730,4730,Race/Ethnicity,"White, non-Hispanic",34,RACE,WHT
2015,2019,RI,"Cancer of the lung and bronchus, incidence",Average Annual Number,40,40,Race/Ethnicity,Hispanic,44,RACE,HIS
2015,2019,MT,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,"Black, non-Hispanic",30,RACE,BLK
2015,2019,FL,"Cancer of the lung and bronchus, incidence",Average Annual Number,13953,13953,Race/Ethnicity,"White, non-Hispanic",12,RACE,WHT
2015,2019,ND,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,Asian or Pacific Islander,38,RACE,APIO
2015,2019,MT,"Cancer of the lung and bronchus, incidence",Average Annual Number,729,729,Overall,Overall,30,OVERALL,OVR
2015,2019,NM,"Cancer of the lung and bronchus, incidence",Average Annual Number,19,19,Race/Ethnicity,"Black, non-Hispanic",35,RACE,BLK
2015,2019,RI,"Cancer of the lung and bronchus, incidence",Average Annual Number,31,31,Race/Ethnicity,"Black, non-Hispanic",44,RACE,BLK
2015,2019,MI,"Cancer of the lung and bronchus, incidence",Average Annual Number,81,81,Race/Ethnicity,Hispanic,26,RACE,HIS
2015,2019,TN,"Cancer of the lung and bronchus, incidence",Average Annual Number,5420,5420,Race/Ethnicity,"White, non-Hispanic",47,RACE,WHT
2015,2019,IA,"Cancer of the lung and bronchus, incidence",Average Annual Number,2538,2538,Overall,Overall,19,OVERALL,OVR
2015,2019,ND,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,Hispanic,38,RACE,HIS
2015,2019,WV,"Cancer of the lung and bronchus, incidence",Average Annual Number,4,4,Race/Ethnicity,Hispanic,54,RACE,HIS
2015,2019,WY,"Cancer of the lung and bronchus, incidence",Average Annual Number,12,12,Race/Ethnicity,Hispanic,56,RACE,HIS
2015,2019,US,"Cancer of the lung and bronchus, incidence",Average Annual Number,1429,1429,Race/Ethnicity,American Indian or Alaska Native,59,RACE,AIAO
2015,2019,NE,"Cancer of the lung and bronchus, incidence",Average Annual Number,26,26,Race/Ethnicity,Hispanic,31,RACE,HIS
2015,2019,TN,"Cancer of the lung and bronchus, incidence",Average Annual Number,33,33,Race/Ethnicity,Asian or Pacific Islander,47,RACE,APIO
2015,2019,MD,"Cancer of the lung and bronchus, incidence",Average Annual Number,2749,2749,Race/Ethnicity,"White, non-Hispanic",24,RACE,WHT
2015,2019,MA,"Cancer of the lung and bronchus, incidence",Average Annual Number,2816,2816,Gender,Female,25,GENDER,GENF
2015,2019,UT,"Cancer of the lung and bronchus, incidence",Average Annual Number,5,5,Race/Ethnicity,American Indian or Alaska Native,49,RACE,AIAO
2015,2019,SD,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,Hispanic,46,RACE,HIS
2015,2019,NV,"Cancer of the lung and bronchus, incidence",Average Annual Number,824,824,Race/Ethnicity,"White, non-Hispanic",32,RACE,WHT
2015,2019,ID,"Cancer of the lung and bronchus, incidence",Average Annual Number,481,481,Gender,Female,16,GENDER,GENF
2015,2019,NC,"Cancer of the lung and bronchus, incidence",Average Annual Number,6592,6592,Race/Ethnicity,"White, non-Hispanic",37,RACE,WHT
2015,2019,UT,"Cancer of the lung and bronchus, incidence",Average Annual Number,701,701,Overall,Overall,49,OVERALL,OVR
2015,2019,MA,"Cancer of the lung and bronchus, incidence",Average Annual Number,5248,5248,Overall,Overall,25,OVERALL,OVR
2015,2019,NY,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,American Indian or Alaska Native,36,RACE,AIAO
2015,2019,US,"Cancer of the lung and bronchus, incidence",Average Annual Number,181603,181603,Race/Ethnicity,"White, non-Hispanic",59,RACE,WHT
2015,2019,VA,"Cancer of the lung and bronchus, incidence",Average Annual Number,2816,2816,Gender,Male,51,GENDER,GENM
2015,2019,SC,"Cancer of the lung and bronchus, incidence",Average Annual Number,28,28,Race/Ethnicity,Hispanic,45,RACE,HIS
2015,2019,OH,"Cancer of the lung and bronchus, incidence",Average Annual Number,58,58,Race/Ethnicity,Asian or Pacific Islander,39,RACE,APIO
2015,2019,MD,"Cancer of the lung and bronchus, incidence",Average Annual Number,6,6,Race/Ethnicity,American Indian or Alaska Native,24,RACE,AIAO
2015,2019,IN,"Cancer of the lung and bronchus, incidence",Average Annual Number,382,382,Race/Ethnicity,"Black, non-Hispanic",18,RACE,BLK
2015,2019,NE,"Cancer of the lung and bronchus, incidence",Average Annual Number,1262,1262,Overall,Overall,31,OVERALL,OVR
2015,2019,MA,"Cancer of the lung and bronchus, incidence",Average Annual Number,2432,2432,Gender,Male,25,GENDER,GENM
2015,2019,MS,"Cancer of the lung and bronchus, incidence",Average Annual Number,12,12,Race/Ethnicity,Asian or Pacific Islander,28,RACE,APIO
2015,2019,OR,"Cancer of the lung and bronchus, incidence",Average Annual Number,42,42,Race/Ethnicity,"Black, non-Hispanic",41,RACE,BLK
2015,2019,OR,"Cancer of the lung and bronchus, incidence",Average Annual Number,1364,1364,Gender,Male,41,GENDER,GENM
2015,2019,IL,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,Asian or Pacific Islander,17,RACE,APIO
2015,2019,TN,"Cancer of the lung and bronchus, incidence",Average Annual Number,6221,6221,Overall,Overall,47,OVERALL,OVR
2015,2019,NH,"Cancer of the lung and bronchus, incidence",Average Annual Number,562,562,Gender,Male,33,GENDER,GENM
2015,2019,WI,"Cancer of the lung and bronchus, incidence",Average Annual Number,2269,2269,Gender,Male,55,GENDER,GENM
2015,2019,GA,"Cancer of the lung and bronchus, incidence",Average Annual Number,5057,5057,Race/Ethnicity,"White, non-Hispanic",13,RACE,WHT
2015,2019,NV,"Cancer of the lung and bronchus, incidence",Average Annual Number,63,63,Race/Ethnicity,Asian or Pacific Islander,32,RACE,APIO
2015,2019,HI,"Cancer of the lung and bronchus, incidence",Average Annual Number,593,593,Race/Ethnicity,Asian or Pacific Islander,15,RACE,APIO
2015,2019,US,"Cancer of the lung and bronchus, incidence",Average Annual Number,224257,224257,Overall,Overall,59,OVERALL,OVR
2015,2019,WY,"Cancer of the lung and bronchus, incidence",Average Annual Number,280,280,Race/Ethnicity,"White, non-Hispanic",56,RACE,WHT
2015,2019,ID,"Cancer of the lung and bronchus, incidence",Average Annual Number,13,13,Race/Ethnicity,American Indian or Alaska Native,16,RACE,AIAO
2015,2019,NH,"Cancer of the lung and bronchus, incidence",Average Annual Number,4,4,Race/Ethnicity,"Black, non-Hispanic",33,RACE,BLK
2015,2019,LA,"Cancer of the lung and bronchus, incidence",Average Annual Number,1965,1965,Gender,Male,22,GENDER,GENM
2015,2019,LA,"Cancer of the lung and bronchus, incidence",Average Annual Number,1583,1583,Gender,Female,22,GENDER,GENF
2015,2019,IN,"Cancer of the lung and bronchus, incidence",Average Annual Number,5623,5623,Overall,Overall,18,OVERALL,OVR
2015,2019,KS,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,"Black, non-Hispanic",20,RACE,BLK
2015,2019,KS,"Cancer of the lung and bronchus, incidence",Average Annual Number,1927,1927,Overall,Overall,20,OVERALL,OVR
2015,2019,PA,"Cancer of the lung and bronchus, incidence",Average Annual Number,10913,10913,Overall,Overall,42,OVERALL,OVR
2015,2019,HI,"Cancer of the lung and bronchus, incidence",Average Annual Number,465,465,Gender,Male,15,GENDER,GENM
2015,2019,VT,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,Hispanic,50,RACE,HIS
2015,2019,VA,"Cancer of the lung and bronchus, incidence",Average Annual Number,7,7,Race/Ethnicity,American Indian or Alaska Native,51,RACE,AIAO
2015,2019,UT,"Cancer of the lung and bronchus, incidence",Average Annual Number,629,629,Race/Ethnicity,"White, non-Hispanic",49,RACE,WHT
2015,2019,MO,"Cancer of the lung and bronchus, incidence",Average Annual Number,13,13,Race/Ethnicity,American Indian or Alaska Native,29,RACE,AIAO
2015,2019,MT,"Cancer of the lung and bronchus, incidence",Average Annual Number,5,5,Race/Ethnicity,Hispanic,30,RACE,HIS
2015,2019,GA,"Cancer of the lung and bronchus, incidence",Average Annual Number,123,123,Race/Ethnicity,Hispanic,13,RACE,HIS
2015,2019,OH,"Cancer of the lung and bronchus, incidence",Average Annual Number,4865,4865,Gender,Female,39,GENDER,GENF
2015,2019,MS,"Cancer of the lung and bronchus, incidence",Average Annual Number,3,3,Race/Ethnicity,American Indian or Alaska Native,28,RACE,AIAO
2015,2019,OK,"Cancer of the lung and bronchus, incidence",Average Annual Number,302,302,Race/Ethnicity,American Indian or Alaska Native,40,RACE,AIAO
2015,2019,SD,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,"Black, non-Hispanic",46,RACE,BLK
2015,2019,MI,"Cancer of the lung and bronchus, incidence",Average Annual Number,67,67,Race/Ethnicity,Asian or Pacific Islander,26,RACE,APIO
2015,2019,ND,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,"Black, non-Hispanic",38,RACE,BLK
2015,2019,IL,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,"White, non-Hispanic",17,RACE,WHT
2015,2019,US,"Cancer of the lung and bronchus, incidence",Average Annual Number,115179,115179,Gender,Male,59,GENDER,GENM
2015,2019,NY,"Cancer of the lung and bronchus, incidence",Average Annual Number,6901,6901,Gender,Male,36,GENDER,GENM
2015,2019,OK,"Cancer of the lung and bronchus, incidence",Average Annual Number,50,50,Race/Ethnicity,Hispanic,40,RACE,HIS
2015,2019,NC,"Cancer of the lung and bronchus, incidence",Average Annual Number,8345,8345,Overall,Overall,37,OVERALL,OVR
2015,2019,ME,"Cancer of the lung and bronchus, incidence",Average Annual Number,4,4,Race/Ethnicity,Asian or Pacific Islander,23,RACE,APIO
2015,2019,IA,"Cancer of the lung and bronchus, incidence",Average Annual Number,1190,1190,Gender,Female,19,GENDER,GENF
2015,2019,MI,"Cancer of the lung and bronchus, incidence",Average Annual Number,3988,3988,Gender,Female,26,GENDER,GENF
2015,2019,KY,"Cancer of the lung and bronchus, incidence",Average Annual Number,23,23,Race/Ethnicity,Hispanic,21,RACE,HIS
2015,2019,TN,"Cancer of the lung and bronchus, incidence",Average Annual Number,699,699,Race/Ethnicity,"Black, non-Hispanic",47,RACE,BLK
2015,2019,OH,"Cancer of the lung and bronchus, incidence",Average Annual Number,8938,8938,Race/Ethnicity,"White, non-Hispanic",39,RACE,WHT
2015,2019,WA,"Cancer of the lung and bronchus, incidence",Average Annual Number,71,71,Race/Ethnicity,American Indian or Alaska Native,53,RACE,AIAO
2015,2019,WY,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,"Black, non-Hispanic",56,RACE,BLK
2015,2019,GA,"Cancer of the lung and bronchus, incidence",Average Annual Number,92,92,Race/Ethnicity,Asian or Pacific Islander,13,RACE,APIO
2015,2019,ND,"Cancer of the lung and bronchus, incidence",Average Annual Number,243,243,Gender,Female,38,GENDER,GENF
2015,2019,WV,"Cancer of the lung and bronchus, incidence",Average Annual Number,975,975,Gender,Female,54,GENDER,GENF
